"PUMFID","HHLDSIZE","GENDER","TBC_05AR","TBC_05BR","TBC_10AR","TBC_10BR","TBC_15R","TBC_20R","TBC_25QR","TBC_30AR","TBC_30BR","TBC_30CR","TBC_30DR","TBC_30ER","TBC_30FR","TBC_30GR","TBC_35R","TBC_40R","TBC_41AR","TBC_41BR","TBC_41CR","TBC_45AR","TBC_45BR","TBC_45CR","TBC_45ER","TBC_45FR","TBC_45GR","TBC_50AR","TBC_50BR","TBC_50CR","TBC_50DR","TBC_50ER","TBC_50GR","OTP_05A","OTP_05BR","OTP_05CR","OTP_05DR","OTP_05ER","VAP_05AR","VAP_05BR","VAP_10R","VAP_15AR","VAP_15BR","VAP_15CR","VAP_20R","VAP_21R","VAP_30R","VAP_35R","VAP_40AR","VAP_40BR","VAP_40CR","VAP_40DR","VAP_40ER","VAP_40FR","VAP_40GR","VAP_40HR","VAP_41AR","VAP_41BR","VAP_41CR","VAP_41DR","VAP_41ER","VAP_41FR","VAP_41GR","VAP_41HR","VAP_45R","VAP_60","CAN_05AR","CAN_05BR","CAN_10AR","CAN_10BR","CAN_15AR","CAN_15BR","CAN_20AR","CAN_20BR","CAN_25AR","CAN_25BR","CAN_30AR","CAN_30BR","CAN_30CR","CAN_30DR","CAN_30ER","CAN_30FR","CAN_30GR","CAN_30HR","CAN_30IR","IU_05R","ALC_05","ALC_10","AGEGROUP","PROV_C","DV_SSR","DV_CN30R","DV_VP30R","DV_VC30R","DV_ALC30","FIRSTTRR","VERDATE","WTPP"
50000,3,1,1,4,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,1,4,4,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,3,2,4,2,12,3,2,2,2,1,3,29JUN2021,971.3926
50001,1,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,4,8,5,59,3,2,2,2,2,6,29JUN2021,1821.0276
50002,1,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,3,7,4,59,3,2,2,2,1,6,29JUN2021,4717.9118
50003,1,2,1,3,1,6,1,6,96,5,5,5,5,5,5,5,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,4,8,6,13,1,2,2,2,2,1,29JUN2021,1805.058
50004,3,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,4,8,3,11,3,2,2,2,2,6,29JUN2021,2323.2049
50005,5,1,1,3,4,6,2,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,1,4,4,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,1,4,8,3,12,3,2,2,2,2,1,29JUN2021,2833.8795
50006,2,1,1,2,1,6,1,6,96,5,5,5,5,5,5,5,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,1,4,4,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,1,1,5,5,24,1,2,2,2,1,1,29JUN2021,7125.7778
50007,5,1,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,4,8,2,59,3,2,2,2,2,6,29JUN2021,1786.2734
50008,5,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,2,96,6,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,2,96,6,96,6,96,2,96,6,96,6,6,6,6,6,6,6,6,6,6,3,7,2,35,3,2,2,2,1,6,29JUN2021,3004.5566
50009,3,2,2,96,6,6,6,6,96,96,96,96,96,96,96,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,1,2,3,1,0,0,3,2,2,8,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,7,1,2,2,3,2,4,1,2,4,96,2,2,2,1,2,2,2,2,2,3,4,7,1,35,3,1,1,2,2,3,29JUN2021,2288.3166
